i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
80,234,91,210,0,0,0.8216494598203079,47.07704628690755,17.359675760748424,16.87546120881471,0.24881090713420345,0.16616096644186928,1.4974088828572678
177,221,155,119,1,1,1.4651060660179531,83.94439412184407,9.236722619977039,8.432484636802474,0.2479441843527103,0.19224497693408954,1.2897303654270094
42,50,43,51,1,1,0.5882058418557168,33.70171222327212,20.47240145122051,20.178543278901603,0.24707000987943356,0.0,inf
130,190,97,166,1,0,1.5923900892726919,91.23723145378563,7.809578025895274,7.010223426319254,0.2455570643415854,0.15171645014852986,1.618526297584645
130,197,97,95,0,1,1.206850977388128,69.14746750557808,12.798071994483804,12.035413020245548,0.2445809859015946,0.2154267072995317,1.1353327030224087
224,239,82,177,1,0,0.6406692926202758,36.707646530773744,20.065735523299992,19.724320091656445,0.24386279793259202,0.15805171685438268,1.54293039510143
153,196,232,141,1,1,1.5793413322380812,90.48959274781079,8.264266267920602,7.431747009468609,0.24203976870955862,0.17014696818191977,1.422533538480519
98,202,247,229,1,0,0.8381908271064098,48.02479681977696,17.84056620650901,17.322877835060037,0.2403552687132877,0.21648468020364858,1.1102645623107552
78,93,226,193,0,1,0.7769718896607507,44.5172100778653,18.96732534446895,18.493816971147798,0.23621758349195368,0.22478267447592137,1.050870953656427
82,98,128,247,0,0,1.3817867238899757,79.17054746610441,11.528488319302532,10.632974775786064,0.23314442548262063,0.22998178421682547,1.0137517033210484
71,115,217,117,1,0,1.2851918436378627,73.63606850508675,13.143899437959462,12.257809326955515,0.2286932916664495,0.2239363908510284,1.0212421964886698
246,247,167,75,1,1,1.3010207083398515,74.54299564699431,12.974441132461875,12.078555919935019,0.22832674956812993,0.17953748014797663,1.2717497726933713
83,113,159,102,1,1,1.4789984330905368,84.74036812254964,10.773328326573552,9.817914434992595,0.22758623393818928,0.1725127629573211,1.319242878247177
155,186,131,123,1,0,1.4616212438300353,83.74472851812284,11.664511227801663,10.653583237370867,0.22008915935701653,0.21353209012526542,1.0307076525495746
175,239,227,177,1,1,1.5604187421705744,89.40540819948649,10.48903678140861,9.4568010143023,0.2191836615284235,0.148549355470767,1.4754938574712066
134,156,202,214,1,1,0.8914297511090314,51.07516247094492,19.226527984262084,18.59622556992577,0.21678955156945712,0.0,inf
7,105,8,90,1,1,0.9799779007010364,56.148597726259865,18.46919425314867,17.738973251563927,0.2128147902815762,0.2060295530973587,1.0329333199155712
114,222,185,109,0,1,1.7149478269937406,98.25927257187301,9.291182832710595,8.193740155548575,0.2109089327782853,0.20775717054155807,1.015170413750397
102,180,196,122,1,1,0.9382089130896427,53.755411021592785,19.407319187976633,18.703317581889205,0.208535017108321,0.1937379903467731,1.076376485247228
115,143,117,93,1,1,2.0305999471525973,116.34480685133182,5.677698839442615,4.751298406778843,0.20667556830440317,0.0,inf
127,243,158,251,1,0,1.1675423088031005,66.89524669737752,17.168326449071845,16.209679129687203,0.20155422213491037,0.13358809525869397,1.5087738300677143
181,200,134,152,0,0,1.3905250667950566,79.67121763450363,14.614456531718927,13.465175027620328,0.19870010955207004,0.1792273210695914,1.108648549597623
128,154,170,206,1,1,1.5195748108212426,87.06522331444769,13.107682413718244,11.882460011750336,0.19735019459249256,0.18582700409105174,1.062010311998544
172,192,147,233,0,0,1.2691939704368111,72.71945788948105,16.487274455443703,15.402736731898186,0.19546817523649432,0.15745525593553789,1.241420453544713
52,88,53,106,0,1,1.462598774157815,83.80073688025065,14.027104226816908,12.809834337032832,0.1954453437979038,0.1045930754252299,1.8686260347858414
127,142,158,65,0,0,0.4640471213711829,26.587941549763848,26.76098583652216,26.521518685792586,0.19525070791160914,0.16439916996878404,1.1876623704893594
128,250,170,163,0,1,0.7560721526068591,43.31974335174413,23.49146744894877,22.93591945327328,0.19091941439407398,0.15130461298493045,1.2618215044976129
154,213,206,195,0,1,0.5272780524363506,30.210807034480606,26.502226076748784,26.196282680465895,0.1899894114559309,0.13175973719334144,1.4419382999917834
146,201,201,144,0,0,1.5152401688455372,86.81686662353954,14.024642752043015,12.720962420815903,0.18902726993224872,0.1859574809683895,1.0165080154230581
167,226,142,221,0,0,1.2659270058292917,72.53227460565158,17.2029114619544,16.077000410741345,0.1889902721443697,0.15212986582955368,1.2422956604465452
121,205,231,69,1,0,0.412958281993797,23.660766673217868,28.490467384809666,28.288456454603182,0.1849960553209351,0.15549034175622964,1.1897591402234045
99,240,96,148,1,1,1.2897962588068836,73.89988206139768,17.394047301084942,16.213193351709737,0.184369724397181,0.12164911748395567,1.515586205723996
197,245,95,132,0,1,0.7759300339285148,44.45751614154667,24.45769468687902,23.8487464368458,0.17962981377492737,0.12112324515852582,1.4830333644035734
157,169,125,145,0,0,1.573441069312971,90.15153258418447,14.518413748002262,13.066438379161212,0.17770962467772963,0.10545788213939936,1.6851241564174826
92,174,66,246,1,0,0.9139479196631342,52.36535849145921,23.020349600717903,22.227468863912748,0.1767790207726247,0.11249297008216992,1.5714672716303726
189,220,64,248,1,0,0.7850069886749853,44.97758733935067,24.68450682200493,24.055559460746007,0.1765808715959499,0.11124417427215631,1.5873269117351607
143,165,93,84,0,1,1.1997959861660807,68.74324628405293,19.45909238646175,18.312766278219108,0.17608851804790004,0.0,inf
230,248,218,153,0,0,1.6946148513093913,97.09427888021767,13.20053977067378,11.676768759359085,0.1757219593679209,0.11677871858238828,1.5047430002748978
73,92,222,66,1,0,1.142333588256647,65.45089340314101,20.287904502999666,19.202666270980163,0.17523499556099661,0.0,inf
151,179,199,239,1,1,1.3382442466292488,76.6757472895204,17.79886866953793,16.500121587919395,0.17518789748667998,0.1267466544262679,1.382189520344237
109,233,244,113,1,0,1.6386663590925987,93.88866640607492,13.997738165020392,12.483343806391233,0.17497812501903953,0.0,inf
64,91,121,129,1,0,0.9511035729569597,54.49422061024677,22.921085591679716,22.06687003170385,0.17350556248136198,0.12477037664045063,1.3905990119862424
110,131,92,172,0,1,1.32863533869879,76.12519741937533,18.238517762113627,16.92631237911753,0.17243043227952873,0.12569610450818133,1.3718041060556936
222,243,109,251,0,1,1.508793523324186,86.44750104314919,16.49165856784358,14.971299089403908,0.16777848391379857,0.0,inf
116,210,180,78,0,0,1.7261589536785653,98.90162281449996,13.80927493743661,12.157573031016195,0.1670652762760559,0.0,inf
214,238,220,160,1,1,1.7530384288710972,100.44170329855864,13.575527237295315,11.902780368041567,0.16616146421002861,0.0,inf
83,147,159,197,0,0,1.4945369453814028,85.63065929672841,16.94768404405386,15.413848683911006,0.16549141275857043,0.10754856392417735,1.538759856200807
62,187,219,249,1,0,1.610894735828456,92.29746960281221,15.46963386383976,13.850416813537873,0.1654627585715967,0.1404380368964385,1.1781904833489796
108,160,223,89,0,1,1.9498209765191015,111.7165127606213,11.271936114982067,9.5693262905309,0.1644923207925966,0.12136777529961276,1.3553212159201655
205,235,69,191,1,1,1.7621278642520344,100.96248958404323,13.893160932522623,12.164169706422529,0.16259977161538625,0.13525953905660507,1.2021316407661238
147,155,197,131,1,0,1.0965435811540258,62.827319252286756,22.449367049854143,21.341430615549722,0.16193671349441785,0.0,inf
63,206,127,74,1,0,0.9090613870131191,52.08538079416047,25.01403101201253,24.16157585091702,0.16050534996231336,0.14397042958040276,1.114849420329585
97,248,243,153,0,1,2.453221677978873,140.55924835819135,5.377257122140833,4.126723886800448,0.16031217317250274,0.0,inf
123,138,143,237,0,0,1.3138569430859368,75.27845772278418,19.914100475662377,18.512353114493564,0.1600718772494567,0.1304832511505006,1.226761870493465
30,132,31,83,0,1,1.7745577115263487,101.67466737285362,14.158307798074276,12.372357324415812,0.15919364634384384,0.0,inf
65,208,76,224,0,0,1.298279349537381,74.38592735748172,20.671120114969632,19.249661173132935,0.1556623081016251,0.1456838903396167,1.0684936250586583
65,186,76,123,1,1,0.9414999548173236,53.94397382279034,25.401270728713996,24.473434252211245,0.1542098374252695,0.0,inf
39,84,40,130,0,1,2.2933784030014825,131.4009033184378,8.916301357484539,7.086815839695343,0.1486998989985734,0.1100616923932898,1.3510595354759352
173,181,138,134,1,1,2.2160393272444594,126.96970068611783,10.044179359033823,8.111494960995556,0.14763925896727093,0.0,inf
61,66,136,70,1,0,1.3089596527464824,74.99786365528325,21.6116913823822,20.101527880987224,0.14750485842223013,0.14588686040711715,1.0110907727440137
80,224,91,82,1,0,1.7064318314777294,97.77134197045324,16.587255028165263,14.646727245755915,0.14723711043553656,0.0,inf
123,158,143,105,1,0,2.102311510985644,120.45357680124839,11.78138349223933,9.728543002497078,0.14551992645288303,0.13555040553590963,1.073548440357357
60,195,213,110,1,0,2.1078659340295944,120.77182179929697,11.804878355029706,9.737666486339728,0.1448360235056875,0.0,inf
72,93,79,193,1,0,1.4968149398294686,85.76117876435681,19.79318815795238,17.99651116460449,0.14333633831869502,0.0,inf
74,228,173,190,1,0,1.9440988982202339,111.38866182405279,14.138515470666253,12.014836426237025,0.1430476379646939,0.0,inf
38,138,39,237,0,1,1.186015938824993,67.95370772991812,24.153247494302605,22.762315160240416,0.14047811440315316,0.0,inf
48,187,49,249,0,1,1.4914891733170421,85.45603482052267,20.90972361496709,19.024803071172723,0.13601396988834424,0.0,inf
88,178,106,207,0,1,1.0739677553207085,61.53381971301526,26.489673765131126,25.23484565239734,0.13423103844805506,0.11067024523455078,1.2128918496888692
106,142,203,65,1,1,2.346137127284453,134.42375555234636,10.346197846060416,8.131331620203301,0.13386717844724041,0.0,inf
104,198,156,68,1,0,1.6320019712180276,93.50682510782383,19.461090026916175,17.372144696008817,0.1337183943886918,0.11666176452485552,1.1462058278760412
139,168,67,140,1,0,1.158953943910166,66.40316963609405,25.654408062369207,24.242558073836136,0.1325847256455979,0.10363395712876428,1.2793560076149804
