i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
78,324,79,325,1,0,0.5309049498069696,30.418612946544165,13.614886030894578,13.455552910729907,0.3610535874991823,0.27004731511828217,1.3370012115878245
13,377,14,378,0,0,0.794036178156998,45.494921789093915,10.522722012357997,10.248454701364851,0.356423648558108,0.2763405168719155,1.2897987330729037
18,509,19,510,1,0,0.5050745357223834,28.938639236422098,14.22371171739619,14.073006709751445,0.35603507709079796,0.32646697142541103,1.0905699756893859
185,505,186,506,1,0,0.9722527576436738,55.705979632938195,8.37859416535337,8.05246829908611,0.354203016419313,0.34510407011385824,1.0263658040962913
116,199,117,200,1,1,0.6453013376953742,36.97304316409124,12.665967520809025,12.447346759757277,0.35200497612944803,0.3257114044528407,1.0807265920601634
203,234,204,235,0,0,0.7565959093654024,43.34975240350011,12.12391070277084,11.836798694203793,0.33693695248956224,0.3101619716769576,1.0863258015411752
26,519,27,520,0,1,0.342147491400389,19.60360722823092,17.485746935133218,17.400581349510063,0.3355094336284521,0.31858780970983536,1.053114473946849
417,506,418,507,1,1,0.5533970486480648,31.707315282530015,15.449421489405154,15.253034830447481,0.32472565954289856,0.28032940825124775,1.1583717226408878
206,504,207,505,1,1,1.2813539512188457,73.41617346725182,6.42574127152042,5.995083067020894,0.32077275839293096,0.30314769056378627,1.0581402015511516
358,466,359,467,0,0,0.7940605770608306,45.49631974330826,12.662919338820377,12.332849173627855,0.3202476645692943,0.31861838304455964,1.0051135829300433
113,123,114,124,0,0,0.6876043479255726,39.396827110980354,14.222440062524944,13.94390936953721,0.3169965062111306,0.2546920000094739,1.2446268677435457
41,351,42,352,1,1,0.4225639988100114,24.211133705984793,17.740001761035774,17.608310181795122,0.3147386444254395,0.28831667529056865,1.0916421816679263
459,466,460,467,1,1,0.9204793398219595,52.73958130078657,11.47717635516306,11.076262445454223,0.3135319013027729,0.21191133211969826,1.4795428737415242
211,382,212,383,0,0,0.9450991716416239,54.15019375637523,11.21407183332275,10.801350793564401,0.31274334426721667,0.26596439572722486,1.1758842510182026
117,171,118,172,0,0,1.109809525746385,63.58740188868333,9.240061776685229,8.77311034351093,0.31082358564280443,0.2499194514589937,1.2436950538593983
121,149,122,150,0,0,1.2053381893749218,69.06079113712339,8.786650241877057,8.26432676934764,0.2991905445444213,0.15285574421819564,1.9573392290533642
20,424,21,425,1,0,0.6116560274712477,35.045308887840434,16.886576320503902,16.624568855991026,0.2912069381143801,0.29079900202296716,1.001402811180833
12,141,13,142,0,0,0.8403225044588087,48.14693293535304,14.302739888312322,13.885615323989086,0.2864753124728014,0.26678094919412554,1.0738222250807912
