i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
56,387,57,388,0,0,1.24356090553985,71.25079145490024,25.921213627071566,24.28296719663895,0.07979190424716076,0.005515851075544169,14.465927950980594
63,195,64,196,1,1,1.2180943379710132,69.79166461452115,22.879676185164065,21.491188196134104,0.07914730879058972,0.039646080255905124,1.9963463797609864
86,454,87,455,1,0,1.114240269689959,63.841264816753274,16.342812843867478,15.510415060542313,0.0778545147471635,0.04816983647012368,1.6162503436242952
100,287,101,288,0,1,1.1491405917783224,65.8409059760637,17.762996142214654,16.80164994967909,0.0766081225650243,0.06951262724002578,1.1020749122385767
48,54,49,55,1,1,1.2780034585016011,73.22420437526439,27.02152576927383,25.219787148626498,0.07487280881171994,0.024344298927507575,3.075578764238646
222,497,223,498,0,0,1.171038406920995,67.09555836429651,18.456897734558243,17.420223728915854,0.07458965228780555,0.0,inf
26,505,27,506,1,0,1.2993872562957496,74.44940573883027,38.30640424656403,35.66784430101463,0.07177884985960102,0.0,inf
39,85,40,86,1,1,1.2621789230381772,72.3175252804551,23.391709207313138,21.86962005756265,0.0714829104967608,0.007002429562761073,10.208301255453819
167,494,168,495,1,1,1.319222398264356,75.58587565967422,34.73967763771881,32.27478540366336,0.07121812961330337,0.06890261617920118,1.03360559529525
71,396,72,397,0,0,1.2321031824346058,70.59431227814022,20.940859365097864,19.641190955942793,0.07065302610505059,0.0020137845416705077,35.0846997993347
256,417,257,418,0,0,1.2192907893925824,69.86021623136949,20.089566492837598,18.868048942159334,0.07039485781905692,0.0048233233300834415,14.59467943606408
263,493,264,494,1,0,1.3465916718688156,77.15401952554856,35.732013499957084,33.09283380772814,0.06734226817502444,0.02215898583499547,3.0390501025850853
213,484,214,485,0,0,1.3533527118653172,77.54139858246725,35.33658006537212,32.70093496700299,0.06658594574379116,0.03948542473347604,1.6863423957888717
108,348,109,349,0,0,1.3341125088782904,76.4390161543356,41.19726528627137,38.209305693092574,0.06535168040329148,0.018242441952990757,3.582397607277429
87,500,88,501,0,0,1.3332823273957075,76.3914502591537,26.558688223655917,24.63478013991038,0.06485104494014529,0.018958831554724487,3.4206245650188603
137,330,138,331,1,1,1.3298483695886758,76.19469896978478,26.153663597995724,24.268626357360468,0.06478811408118365,0.013261376755573349,4.88547420643601
239,318,240,319,0,1,1.3757971126573842,78.82736802155277,32.54970257772923,30.042650591341463,0.06355952449063032,0.008151260593907146,7.797508588811331
404,482,405,483,1,1,1.4154930136895203,81.10177561466317,33.84261267762297,31.087212559661815,0.058788659824910834,0.022232032537618223,2.6443223185030935
206,504,207,505,0,1,1.0214902754905313,58.5270815992632,10.864685159305585,10.398446681328833,0.058684311663756226,0.0013006594115098423,45.1188921130658
248,255,249,256,1,1,1.4130475120278616,80.9616586906579,38.61399744112218,35.48070293763306,0.058584055078172194,0.028719003359807167,2.039905575559136
290,292,291,293,0,0,1.4270309392863956,81.76285005570008,41.195387016789724,37.78783542291178,0.05593058217515232,0.017419700759441225,3.2107659567480664
7,249,8,250,1,1,1.3947015269290368,79.91051117348535,25.69144897401008,23.65921346998351,0.053906823680101246,0.0029631403684073653,18.192463730321084
64,263,65,264,0,0,1.4289810785647283,81.87458480581124,28.641137163845848,26.26571930842122,0.05350204679583718,0.015916306157294214,3.3614612754428554
153,207,154,208,1,1,1.4676172464712083,84.08827416341134,34.57613211005558,31.555550753559377,0.052844270055297425,0.020001803875006812,2.6419752131120937
97,148,98,149,1,1,1.4586509091324018,83.57454087620717,30.87115516614244,28.206219400632403,0.05192970012817793,0.016146082365457403,3.2162414976449805
228,301,229,302,0,0,1.4863403462355387,85.16102875930986,36.13341956585517,32.89797856575857,0.05110648175031059,0.009783277659178009,5.223860911518334
